DATE,VALUE
1986-01-01,15.05
1987-01-01,19.20
1988-01-01,15.97
1989-01-01,19.64
1990-01-01,24.53
1991-01-01,21.54
1992-01-01,20.58
1993-01-01,18.43
1994-01-01,17.20
1995-01-01,18.43
1996-01-01,22.12
1997-01-01,20.61
1998-01-01,14.42
1999-01-01,19.34
2000-01-01,30.38
2001-01-01,25.98
2002-01-01,26.18
2003-01-01,31.08
2004-01-01,41.51
2005-01-01,56.64
2006-01-01,66.05
2007-01-01,72.34
2008-01-01,99.67
2009-01-01,61.95
2010-01-01,79.48
2011-01-01,94.88
2012-01-01,94.05
2013-01-01,97.98
2014-01-01,93.17
2015-01-01,50.13
