year	production
1860	1
1861	6
1862	8
1863	7
1864	6
1865	7
1866	1
1867	9
1868	1
1869	12
1870	14
1871	14
1872	17
1873	24
1874	3
1875	33
1876	25
1877	37
1878	42
1879	55
1880	72
1881	76
1882	83
1883	64
1884	66
1885	6
1886	77
1887	77
1888	75
1889	96
1890	126
1891	149
1892	138
1893	133
1894	135
1895	145
1896	167
1897	166
1898	152
1899	156
1900	174
1901	19
1902	243
1903	275
1904	32
1905	369
1906	347
1907	455
1908	488
1909	502
1910	574
1911	604
1912	609
1913	681
1914	728
1915	77
1916	822
1917	919
1918	92
1919	1037
1920	121
1921	1294
1922	1527
1923	2007
1924	1951
1925	17
1926	2112
1927	2469
1928	2463
1929	276
1930	246
1931	2332
1932	2145
1933	2481
1934	2488
1935	2723
1936	3001
1937	35
1938	3324
1939	3464
1940	4107
1941	3847
1942	3796
1943	4125
1944	4584
1945	4695
1946	4749
1947	5088
1948	552
1949	5046
1950	5407
1951	6158
1952	6256
1953	6458
1954	6342
1955	6807
1956	7151
1957	717
1958	671
1959	7054
1960	7035
1961	7183
1962	7332
1963	7542
1964	7614
1965	7804
1966	8295
1967	881
1968	9096
1969	9238
1970	9637
1971	9463
1972	9441
1973	9208
1974	8774
1975	8375
1976	8132
1977	8245
1978	8707
1979	8552
1980	8597
1981	8572
1982	8649
1983	8688
1984	8879
1985	8971
1986	868
1987	8349
1988	814
1989	7613
1990	7355
1991	7417
1992	7171
1993	6847
1994	6662
1995	656
1996	6465
1997	6452
1998	6252
1999	5881
2000	5822
2001	5801
2002	5744
2003	5649
2004	5441
2005	5184
2006	5087
2007	5077
2008	5001
2009	5354
2010	5476
2011	5637
2012	6476
2013	7454
2014	8703
